Experiment	ReleaseDate	TaxID	ScientificName	species_tax_id	class_tax_id	strain_tax_id	species	LibraryLayout	Platform	Model	Run	SRAStudy	BioProject	ProjectID	Sample	BioSample	Submission	LibraryStrategy	LibrarySelection	LibrarySource	Body_Site	CenterName	InsertSize	InsertDev	SRA ID	Biosample	GEO Series	GEO Sample	PMID	biosample_strain	biosample_genotype	R1	R2
ERX1517773	6/9/16 9:47	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR1447397	ERP015958	PRJEB14322	325110	ERS1199236	SAMEA4028126	ERA649645	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	180	50	2619554	5219789					wild type genotype		
ERX1517774	6/9/16 9:47	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	Illumina MiSeq	ERR1447398	ERP015958	PRJEB14322	325110	ERS1199237	SAMEA4028127	ERA649645	RNA-Seq	RANDOM	TRANSCRIPTOMIC		Anika Winkler	180	50	2619555	5219791					gbuA		
ERX2068556	8/22/18 9:38	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2008793	ERP023543	PRJEB21307	487549	ERS1789031	SAMEA104125138	ERA960461	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	6209298	9590291					mexZ		
ERX2068557	8/22/18 9:38	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2008794	ERP023543	PRJEB21307	487549	ERS1789032	SAMEA104125139	ERA960461	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	6209299	9590292					mexZ		
ERX2068558	8/22/18 9:38	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2008795	ERP023543	PRJEB21307	487549	ERS1789033	SAMEA104125140	ERA960461	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	6209300	9590293					mexZ		
ERX2068559	8/22/18 9:38	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2008796	ERP023543	PRJEB21307	487549	ERS1789034	SAMEA104125141	ERA960461	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	6209301	9590294					wild type genotype		
ERX2068560	8/22/18 9:38	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2008797	ERP023543	PRJEB21307	487549	ERS1789035	SAMEA104125142	ERA960461	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	6209302	9590295					wild type genotype		
ERX2068561	8/22/18 9:38	208964	Pseudomonas aeruginosa PAO1	287	1236	208964	Pseudomonas aeruginosa	PAIRED	ILLUMINA	NextSeq 500	ERR2008798	ERP023543	PRJEB21307	487549	ERS1789036	SAMEA104125143	ERA960461	RNA-Seq	Inverse rRNA	TRANSCRIPTOMIC		"Novo Nordisk Center For Biosustainability, Technical University of Denmark"	250	30	6209303	9590296					wild type genotype		
ERX2195929	10/26/17 7:16	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2139380	ERP104508	PRJEB22802	415938	ERS1945262	SAMEA104320284	ERA1105626	RNA-Seq	unspecified	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	4658316	7837513							
ERX2195930	10/26/17 7:16	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2139381	ERP104508	PRJEB22802	415938	ERS1945263	SAMEA104320285	ERA1105626	RNA-Seq	unspecified	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	4658317	7837514							
ERX2195931	10/26/17 7:16	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2139382	ERP104508	PRJEB22802	415938	ERS1945264	SAMEA104320286	ERA1105626	RNA-Seq	unspecified	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	4658318	7837515							
ERX2195932	10/26/17 7:16	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2139383	ERP104508	PRJEB22802	415938	ERS1945265	SAMEA104320287	ERA1105626	RNA-Seq	unspecified	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	4658319	7837516							
ERX2195933	10/26/17 7:16	287	Pseudomonas aeruginosa	287	1236	287	Pseudomonas aeruginosa	SINGLE	ILLUMINA	Illumina HiSeq 2000	ERR2139384	ERP104508	PRJEB22802	415938	ERS1945266	SAMEA104320288	ERA1105626	RNA-Seq	unspecified	TRANSCRIPTOMIC		UNIVERSITY OF VIENNA	0	0	4658320	7837517							
