	Total	Assigned	Unassigned_rRNA	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned	reads_processed	reads_aligned	reads_aligned_percentage	not_aligned	not_aligned_percentage	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed	pe_sense	pe_antisense	failed	se_sense	se_antisense
ERX1517773	5354499	2131165	28019	1171544	0	0	0	0	982	0	0	0	0	1882474	117588	22727	39.80138945	5354499	4182955	78.12	1171544	21.88	ERX1517773_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	5354499	0	20-75	54	40.71394898	73.95036137	pass	pass	pass	pass	fail	fail	fail	warn	fail	fail	pass	5358269	89830	5358269	401870175	823568	400904070	0.240402264	0.1328	0.3343	0.5329		
ERX1517774	4682908	1838787	14657	1025970	0	0	0	0	168	0	0	0	0	1675449	112010	15867	39.26592194	4682908	3656938	78.09	1025970	21.91	ERX1517774_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	4682908	0	20-75	55	40.34731844	73.95433649	pass	pass	pass	pass	fail	fail	fail	warn	fail	fail	pass	4685736	65232	4685736	351430200	617780	350685616	0.211872514	0.1445	0.334	0.5215		
ERX2068556	7378583	3121617	10583	351379	0	0	0	0	6444	0	0	0	0	3516641	354090	17829	42.3064564	7378583	7027204	95.24	351379	4.76	ERX2068556_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7378583	0	20-76	58	20.0075909	75.14677032	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	7411903	944008	7411903	558658864	3446024	553924342	0.847479975	0.2033	0.2406	0.556		
ERX2068557	11863531	5447214	25131	544806	0	0	0	0	14566	0	0	0	0	5113741	690982	27091	45.91562158	11863531	11318725	95.41	544806	4.59	ERX2068557_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	11863531	0	20-76	58	18.01355727	75.11830972	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	11921761	1551602	11921761	898213641	5829631	890256401	0.885896143	0.1868	0.2432	0.57		
ERX2068558	21718678	7910385	66686	1366378	0	0	0	0	32483	0	0	0	0	11323244	984698	34804	36.42203729	21718678	20352300	93.71	1366378	6.29	ERX2068558_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	21718678	0	20-76	57	16.37251094	75.12157536	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	21817611	1274386	21817611	1647172687	2630731	1642908376	0.258886699	0.2278	0.2149	0.5573		
ERX2068559	7405632	3027015	27769	346383	0	0	0	0	8187	0	0	0	0	3569550	413423	13305	40.8744993	7405632	7059249	95.32	346383	4.68	ERX2068559_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	7405632	0	20-76	58	23.24869023	75.11243497	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass	7447518	920087	7447518	561233704	4089564	555882038	0.953553923	0.2267	0.2236	0.5498		
ERX2068560	8159652	3822936	14118	405489	0	0	0	0	9926	0	0	0	0	3406959	477866	22358	46.85170397	8159652	7754163	95.03	405489	4.97	ERX2068560_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	8159652	0	20-76	58	22.09442218	74.81349376	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	pass	8194693	491244	8194693	618756407	945472	617169964	0.256392173	0.1846	0.2464	0.569		
ERX2068561	20487750	8093867	102939	1075074	0	0	0	0	33642	0	0	0	0	10229298	911447	41483	39.50588522	20487750	19412676	94.75	1075074	5.25	ERX2068561_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	20487750	0	20-76	58	16.78587589	74.79842433	pass	pass	pass	pass	fail	pass	pass	warn	fail	fail	pass	20573200	1241947	20573200	1553008752	2403026	1549001542	0.25802881	0.2188	0.2269	0.5543		
ERX2195929	36177338	10633520	836175	1053730	0	0	0	0	0	0	0	0	0	23166506	477206	10201	29.39276516	36177338	35123608	97.09	1053730	2.91	ERX2195929_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	36177338	0	20-100	60	27.53708683	55.12171819	pass	pass	fail	pass	fail	pass	pass	warn	fail	warn	pass	36181933	6530934	36181933	2023148365	816544	2011666444	0.567527384			0.544	0.067	0.389
ERX2195930	49733300	16330736	1312912	1436786	0	0	0	0	0	0	0	0	0	29889514	748418	14934	32.83662254	49733300	48296514	97.11	1436786	2.89	ERX2195930_trimmed.fq.gz	Conventional base calls	Sanger / Illumina 1.9	49733300	0	20-100	60	28.28094466	57.43150798	pass	pass	fail	pass	fail	warn	pass	warn	fail	warn	pass	49740629	9428426	49740629	2897039524	1274986	2880205093	0.581090829			0.5469	0.0736	0.3795
